obat_id,nama_obat,stok_sistem,stok_fisik
1,B26 Belova Bakuchiol Niacinamide Serum,49,49
3,B62 Belova DNA Salmon Cream,16,16
4,B32 Belova Brightening Night Cream with Tranexamic Acid,97,97
5,B67 Belova DNA Salmon Toner with Centella,45,45
6,B63 Belova DNA Salmon Facial Wash with Centella,160,160
7,B25 Belova B2B Toner for Acne with Beta Glucan and BHA,99,99
8,B24 Belova B2B Facial Wash for Acne with Beta Glucan and BHA,124,124
10,B33 Belova Brightening Peeling Kit (Mandelic acid and Glycolic acid),0,0
11,B12 Belova Acne Peeling Kit (Mandelic acid and Salicilic Acid),0,0
20,B143 Belova Sunscreen For Man,8,8
23,B150 Belova Tone-Up Sunscreen,46,46
655,A19 AHA 8% CREAM BAHAN BAKU,2835,2835
656,A06 ACNE CREAM BAHAN BAKU,229,229
657,M12 MASSAGE CREAM 250 GR,4,4
658,S66 SOOTHING CREAM BAHAN BAKU,3052,3052
659,A20 AHA NEUTRALIZER BOTOL 100 ML,9,9
677,B142 BELOVA SOLUTION SERUM FOR ACNE 15ML,91,91
685,H07 HAVE FUN GO MATTE LIP CREAM- DREAM,20,20
686,H09 HAVE FUN GO MATTE LIP CREAM-FIGHT,39,39
690,B21 BELOVA ANTI IRITASI RACIK,0,0
691,H08 HAVE FUN GO MATTE LIP CREAM-CAPPADOCIA,20,20
692,H11 HAVE FUN GO MATTE LIP CREAM-HERS,29,29
693,H10 HAVE FUN GO MATTE LIP CREAM-HAPPINES,33,33
765,K40 KITODERM GIGA WHITE PEEL GEL 100 ML,100,100
768,A10 ACNE DAY CREAM BAHAN BAKU,3000,3000
794,K42 KITODERM PEELING GA 20% 100 ML,1,1
1004,S69 SPARKLING GEL,36,36
1037,T53 TWO WAY CAKE BEIGE (03),0,0
1038,T54 TWO WAY CAKE NATURAL,4,4
1491,RC19 S-04-A (Acne Serum Ufi),18,18
407,B01 Baby De Biosanitizer 100 mL,5,5
2224,SHOWER OIL UFI,4,4
2227,SKIN BRIGHT GOLD SERUM,24,24
2251,SKIN BRIGHT LOOSE POWDER FOR OILY SKIN,3,3
2252,SKIN BRIGHT LOOSE POWDER FOR LIGHTENING,1,1
2253,C-04-CA,,
2254,SERUM MARINE GOLD ESSENCE,8,8
2261,SKINTECH MASKER,6,6
2262,CYSTEAMINE CREAM,10,10
2273,URIAGE EAU THERMAL WATER,1,1
2277,SERUM NIGHT SURFACING (MTX),1,1
2391,BEAULASH EYE LASH & BROW SERUM,2,2
2392,FACIAL WASH GA 1000 ML DERMAVOSE,3,3
2393,FACETEM,1,1
2394,HYALURONIC (S-04-D PM / S-03-D M),8,8
2395,INNO AKN-ID,1,1
2396,INNO CYNARA PLUS+,1,1
2397,INNO REDNESS-ID (ACNE-CYS),1,1
2398,INTIMATE,6,6
2399,LANZOX BOTOK,5,5
2400,LIPO LAB,2,2
2401,NUCLEOFILL,5,5
2402,IMMORTAL PINK LIP SERUM,4,4
2403,REJUVEYES,5,5
2404,MASSAGE OIL,250,250
2405,DERMAHEAL SB,4,4
2406,KITODERM PEELING LA 30% 100 ML,50,50
2407,KITODERM PEELING LA 40% 100 ML,100,100
2408,GLIKODERM SOLUTION BOTOL,1,1
2409,Pre Peel BOTOL 100 ml,11,11
2410,BRIGHTENING FACE TONER ml,60,60
2411,Peel Off Papermint Gram,1000,1000
2412,Peel Off Gold Gram,0,0
2413,Peel Off Papaya Gram,1000,1000
2414,MESSO NEEDLE,28,28
2415,MESSO NEEDLE 32 KOREA,95,95
2416,Eye Countour,1,1
2417,PROLOGY PRO RETINOL 3%,10,10
2418,PROLOGY GLYCORE PEEL 50%,30,30
2419,PROLOGY ENZYME BOOSTER,15,15
2420,JUVELOOX 50 MG/ML,"2,5","2,5"
2421,AQUALYX NUOVA SOLUTION,6,6
2422,SERUM INTENSIVE LIPOTROFIN,20,20
2423,BIO E,3,3
2424,DEOXYCHOLIC ML,3,3
2425,ANTI WRINKLE ELEVEN HUESDAY,4,4
2426,DA V LINE,2,2
2427,TERASKIN AHA 30,25,25
2428,PEELING KOMPLEKS KITODERM,7,7
2429,XSO PINK,1,1
2430,DETOX CREAM,400,400
2431,LULUR MANDI BRIGHTENING 1000 gram PURBASARI,2000,2000
2432,MASKER VEZE BLUEBERRY,16,16
2433,MASKER VEZE ORANGE,5,5
2434,MASKER VEZE RED POMOGRANATE,23,23
2435,NCTF 135 HA,6,6
2436,SUNSCREEN MIST SKIN MD,4,4
2437,AKNICARE CREAM,1,1
2438,AKNICARE FAST CREAMGEL,1,1
2439,LAVINGEN B,90,90
2440,LAVIGEN S,180,180
2441,AMI TONE UP BRIGHTENING,5,5
2442,TD CLINIK DERMABRIGHTENING CONCENTRATE,13,13
2443,MASKER FARMS STAY RED GINGSENG,1,1
2444,MASKER FARM STAY PEARL,50,50
2445,BEAUTY SKIN GREEN FACE MASK,2,2
2446,NEUVIA HYDRRRRO DELUXE,1,1
2447,ARCHE,1,1
2448,AESPLLA,1,0
2449,BEAUTY FARM AMPUL,58,58
2450,URIAGE EAU THERMAL WATER,1,1
2451,DOROTHY 3 ML,1,1
35,B147 Belova Tirai SPF 40,,
887,B87 BELOVA MALAM AA1 (ACNE TOTOL),,
2454,CREAM TLA,2,2
2198,S-03-H / HYALUDERM,9,9
2199,BABY DE 30 ML,34,34
2200,BABY DE 60 ML,23,23
