id,id Ruangan,id Tipe Barang (isi id berdasarkan id di sheet tipe barang),Kode Barang,Nama Barang,Satuan Unit (Contoh : pcs/box/unit dll),Merk,"Spesifikasi (isi spesifikasi lengkap jika elektronik, termasuk warna barang)",Deprecation Rate (isi angka dalam % per tahun)
1,1,2,INV/BLV-KUPB/001,AC split daikin,unit,daikin,1/2 pk merk daikin,
2,1,2,INV/BLV-KUPB/002,TV tcl,pcs,tcl,42 inch warna hitam,
3,1,2,INV/BLV-KUPB/003,Dispenser polytron,pcs,polytron,panas dingin warna hitam,
4,1,2,INV/BLV-KUPB/004,Tempat sampah stainless,pcs,,,
5,1,2,INV/BLV-KUPB/005,Kursi bar bulat,pcs,,,
6,1,2,INV/BLV-KUPB/006,Kursi tunggu isi 2,pcs,,,
7,1,2,INV/BLV-KUPB/007,Kursi tunggu isi 3,pcs,,,
8,1,2,INV/BLV-KUPB/008,Kursi tunggu isi 4,pcs,,,
9,1,2,INV/BLV-KUPB/009,Kursi tunggu isi 5,pcs,,,
10,1,2,INV/BLV-KUPB/010,Kursi roda,pcs,,,
11,1,2,INV/BLV-KUPB/011,APAR,pcs,,,
12,1,2,INV/BLV-KUPB/012,Papan red code + Helm,unit,,,
13,1,2,INV/BLV-KUPB/013,Hiasan dinding bunga kuningan,pcs,,,
14,1,2,INV/BLV-KUPB/014,Meja counter perawat,unit,,,
15,1,2,INV/BLV-KUPB/015,Kursi jaga perawat krem sandaran,pcs,,,
16,1,2,INV/BLV-KUPB/016,Kotak saran akrilik,pcs,,,
17,1,2,INV/BLV-KUPB/017,Akrilik brosur,pcs,,,
18,1,2,INV/BLV-KUPB/018,Standing akrilik,pcs,,,
19,1,2,INV/BLV-KUPB/019,Timbangan badan,pcs,,,
20,1,2,INV/BLV-KUPB/020,Rak plastik 3 susun,pcs,,,
21,1,2,INV/BLV-KUPB/021,Rak plastik 4 susun,pcs,,,
22,1,2,INV/BLV-KUPB/022,Kalkulator citizen,pcs,,,
23,1,2,INV/BLV-KUPB/023,Telaphon internal,pcs,,,
24,1,2,INV/BLV-KUPB/024,Kranjang plastik biru,pcs,,,
25,1,2,INV/BLV-KUPB/025,Kursi tensi coklat informa,pcs,,,
26,1,2,INV/BLV-KUPB/026,Alarm,pcs,,,
27,2,2,INV/BLV-KUPB/027,AC split daikin,pcs,,,
28,2,2,INV/BLV-KUPB/028,Trolli dokter stainless,pcs,,,
29,2,2,INV/BLV-KUPB/029,Tempat sampah plastik bulat abu-abu,pcs,,,
30,2,2,INV/BLV-KUPB/030,Kursi besi plastik putih,pcs,,,
31,2,2,INV/BLV-KUPB/031,Bed pasien,pcs,,,
32,2,2,INV/BLV-KUPB/032,Loker bawah bed,pcs,,,
33,2,2,INV/BLV-KUPB/033,Standing infus,pcs,,,
34,2,2,INV/BLV-KUPB/034,Trolli abu-abu,pcs,,,
35,2,2,INV/BLV-KUPB/035,EKG,pcs,,,
36,2,2,INV/BLV-KUPB/036,Nebulizer,pcs,,,
37,2,2,INV/BLV-KUPB/037,Tabung oxigen set,unit,,,
38,3,2,INV/BLV-KUPB/038,AC split daikin,pcs,,,
39,3,2,INV/BLV-KUPB/039,Lampu rogxent,pcs,,,
40,3,2,INV/BLV-KUPB/040,Meja laci HPL,pcs,,,
41,3,2,INV/BLV-KUPB/041,Keramik hiasan dinding,pcs,,,
42,3,2,INV/BLV-KUPB/042,Miniatur petronas,pcs,,,
43,3,2,INV/BLV-KUPB/043,USG set,pcs,,,
44,3,2,INV/BLV-KUPB/044,Tempat sampah plastik hijau,pcs,,,
45,3,2,INV/BLV-KUPB/045,Bed pasien,pcs,,,
46,3,2,INV/BLV-KUPB/046,Tangga bed,pcs,,,
47,3,2,INV/BLV-KUPB/047,Emergency kit,unit,,,
48,3,2,INV/BLV-KUPB/048,Kursi bulat hitam,pcs,,,
49,3,2,INV/BLV-KUPB/049,Kursi bulat putih,pcs,,,
50,3,2,INV/BLV-KUPB/050,Tensi meter standing,pcs,,,
51,3,2,INV/BLV-KUPB/051,Kursi dokter,pcs,,,
52,3,2,INV/BLV-KUPB/052,Meja dokter,pcs,,,
53,3,2,INV/BLV-KUPB/053,Kursi pasien konsul ,pcs,,,
54,3,2,INV/BLV-KUPB/054,Lampu hias,pcs,,,
55,3,2,INV/BLV-KUPB/055,AC split daikin,pcs,,,
56,3,2,INV/BLV-KUPB/056,Telephone internal,pcs,,,
57,4,2,INV/BLV-KUPB/057,Walker,pcs,,,
58,4,2,INV/BLV-KUPB/058,Rak plastik putih,pcs,,,
59,4,2,INV/BLV-KUPB/059,Freezer box,pcs,,,
60,4,2,INV/BLV-KUPB/060,Tempat sampah besar kuning B3,pcs,,,
61,4,2,INV/BLV-KUPB/061,Spilkit,pcs,,,
62,4,2,INV/BLV-KUPB/062,Lemari kayu susun 4 (Tempat perkakas),pcs,,,
63,4,2,INV/BLV-KUPB/063,Kursi bulat stainless,pcs,,,
64,4,2,INV/BLV-KUPB/064,Meja loker kayu putih,pcs,,,
65,4,2,INV/BLV-KUPB/065,Blue print epson,pcs,,,
66,5,2,INV/BLV-KUPB/066,Kursi tunggu isi3,pcs,,,
67,5,2,INV/BLV-KUPB/067,Kursi tunggu isi 4,pcs,,,
68,5,2,INV/BLV-KUPB/068,Kursi tunggu isi 5,pcs,,,
69,5,2,INV/BLV-KUPB/069,Sofa hitam besar,pcs,,,
70,5,2,INV/BLV-KUPB/070,Sofa hitam kecil,pcs,,,
71,5,2,INV/BLV-KUPB/071,AC split,unit,,,
72,5,2,INV/BLV-KUPB/072,Counter perawat,unit,,,
73,5,2,INV/BLV-KUPB/073,Kursi perawat biru stainless,pcs,,,
74,5,2,INV/BLV-KUPB/074,Kranjang biru,pcs,,,
75,5,2,INV/BLV-KUPB/075,APAR,pcs,,,
76,5,2,INV/BLV-KUPB/076,Papan red code + Helm,unit,,,
77,5,2,INV/BLV-KUPB/077,Tempat sampah plastik abu-abu,pcs,,,
78,5,2,INV/BLV-KUPB/078,TV tcl,pcs,,,
79,5,2,INV/BLV-KUPB/079,Alarm,pcs,,,
80,5,2,INV/BLV-KUPB/080,Meja besi kaca bulat gold,pcs,,,
81,5,2,INV/BLV-KUPB/081,Sofa bed abu-abu,pcs,,,
82,5,2,INV/BLV-KUPB/082,Lemari loker,pcs,,,
83,5,2,INV/BLV-KUPB/083,Trolli plastik putih,pcs,,,
84,5,2,INV/BLV-KUPB/084,Tempat sampah plastik,pcs,,,
85,5,2,INV/BLV-KUPB/085,Pompa asi (spectra),pcs,,,
