id,id Barang (isi id berdasarkan id di Sheet Barang),Quantity (isi jumlah barang berdasarkan satuan unit di Sheet Barang)
,INV/BLV-KUPB/001,2
,INV/BLV-KUPB/002,1
,INV/BLV-KUPB/003,1
,INV/BLV-KUPB/004,1
,INV/BLV-KUPB/005,2
,INV/BLV-KUPB/006,1
,INV/BLV-KUPB/007,5
,INV/BLV-KUPB/008,4
,INV/BLV-KUPB/009,1
,INV/BLV-KUPB/010,1
,INV/BLV-KUPB/011,1
,INV/BLV-KUPB/012,1
,INV/BLV-KUPB/013,1
,INV/BLV-KUPB/014,1
,INV/BLV-KUPB/015,2
,INV/BLV-KUPB/016,1
,INV/BLV-KUPB/017,1
,INV/BLV-KUPB/018,1
,INV/BLV-KUPB/019,1
,INV/BLV-KUPB/020,1
,INV/BLV-KUPB/021,1
,INV/BLV-KUPB/022,1
,INV/BLV-KUPB/023,1
,INV/BLV-KUPB/024,1
,INV/BLV-KUPB/025,1
,INV/BLV-KUPB/026,1
,INV/BLV-KUPB/027,1
,INV/BLV-KUPB/028,1
,INV/BLV-KUPB/029,2
,INV/BLV-KUPB/030,2
,INV/BLV-KUPB/031,1
,INV/BLV-KUPB/032,1
,INV/BLV-KUPB/033,1
,INV/BLV-KUPB/034,1
,INV/BLV-KUPB/035,1
,INV/BLV-KUPB/036,1
,INV/BLV-KUPB/037,2
,INV/BLV-KUPB/038,1
,INV/BLV-KUPB/039,1
,INV/BLV-KUPB/040,1
,INV/BLV-KUPB/041,6
,INV/BLV-KUPB/042,1
,INV/BLV-KUPB/043,1
,INV/BLV-KUPB/044,2
,INV/BLV-KUPB/045,1
,INV/BLV-KUPB/046,1
,INV/BLV-KUPB/047,2
,INV/BLV-KUPB/048,1
,INV/BLV-KUPB/049,1
,INV/BLV-KUPB/050,1
,INV/BLV-KUPB/051,1
,INV/BLV-KUPB/052,1
,INV/BLV-KUPB/053,2
,INV/BLV-KUPB/054,1
,INV/BLV-KUPB/055,1
,INV/BLV-KUPB/056,1
,INV/BLV-KUPB/057,1
,INV/BLV-KUPB/058,1
,INV/BLV-KUPB/059,1
,INV/BLV-KUPB/060,1
,INV/BLV-KUPB/061,1
,INV/BLV-KUPB/062,1
,INV/BLV-KUPB/063,1
,INV/BLV-KUPB/064,1
,INV/BLV-KUPB/065,1
,INV/BLV-KUPB/066,7
,INV/BLV-KUPB/067,1
,INV/BLV-KUPB/068,1
,INV/BLV-KUPB/069,1
,INV/BLV-KUPB/070,2
,INV/BLV-KUPB/071,4
,INV/BLV-KUPB/072,1
,INV/BLV-KUPB/073,2
,INV/BLV-KUPB/074,1
,INV/BLV-KUPB/075,1
,INV/BLV-KUPB/076,1
,INV/BLV-KUPB/077,1
,INV/BLV-KUPB/078,1
,INV/BLV-KUPB/079,1
,INV/BLV-KUPB/080,1
,INV/BLV-KUPB/081,1
,INV/BLV-KUPB/082,1
,INV/BLV-KUPB/083,1
,INV/BLV-KUPB/084,2
,INV/BLV-KUPB/085,1
,INV/BLV-KUPB/086,1
,INV/BLV-KUPB/087,1
,INV/BLV-KUPB/088,1
,INV/BLV-KUPB/089,1
,INV/BLV-KUPB/090,2
,INV/BLV-KUPB/091,1
,INV/BLV-KUPB/092,1
,INV/BLV-KUPB/093,1
,INV/BLV-KUPB/094,1
,INV/BLV-KUPB/095,1
,INV/BLV-KUPB/096,1
,INV/BLV-KUPB/097,1
