nama_tindakan,nama_sop
Facial Preparation  ,Facial Preparation  
Facial Light  ,Cleansing
Facial Light  ,Massage
Facial Light  ,Detox
Facial Light  ,HF
Facial Light  ,Masker peel off
Facial Face Spa  ,Facial Light  
Facial Face Spa  ,Oxy Spray Treatment
Facial Oxygeneo  ,Facial Light  
Facial Oxygeneo  ,Oxygeneo Capsugen 
Facial Oxygeneo  ,Gold Facial Peel Off Pm gr
Facial Oxygeneo  ,Oxy Geneo Treatment
Facial Korean Silk  ,Facial Face Spa    
Facial Korean Silk  ,Micro + Detox + Us Mesin
Facial Korean Silk  ,Vitocar Kap
Peeling Microdermabrasi  ,Peeling Microdermabrasi  
Peeling Chemical AHA 20% ,Ga 20 %
Peeling Chemical AHA 35% ,Ga 30 %
Peeling Chemical AHA 70% ,Ga 70 %
Peeling Chemical BHA 20% ,Bha Solution 
Peeling Chemical Complex ,Giga/Complex ml
Peeling Chemical Retinol ,Retinol vial
Peeling Chemical Sparkling HD ,Instant Brightening Peel 5 ml
Peeling Chemical Sparkling FD ,Instant Brightening Peel 15 ml
Peeling Chemical Mandelaic ,Skin Recovery 
Peeling Chemical TCA ,T.C.Age 
Peeling Chemical Bio Re Peel ,Bio Re Peel 
Laser ND-Yag 1450 nm - F0,Preparation With Anestesi Cream   
Laser ND-Yag 1450 nm - F0,Laser Nd-Yag C Plus shoot
Laser ND-Yag Blackdoll,Preparation With Anestesi Cream   
Laser ND-Yag Blackdoll,Mata Laser Nd-Yag 1064 F0 shoot
Laser ND-Yag Blackdoll,Carbon Laser 
Laser ND-Yag 1450 nm - F50,Preparation With Anestesi Cream   
Laser ND-Yag 1450 nm - F50,Mata Laser Nd-Yag 1064 F50 shoot
Laser ND-Yag 1450 nm - F50,Laser Nd-Yag C Plus shoot
Laser ND-Yag 532 nm,Preparation With Anestesi Cream   
Laser ND-Yag 532 nm,Mata Laser Nd-Yag 532 shoot
Laser ND-Yag 532 nm,Laser Nd-Yag C Plus shoot
Laser CO2 Face (2 Spot),Preparation With Anestesi Cream   
Laser CO2 Face (2 Spot),Fractional Co2 Treatment
Laser CO2 Vagina,Preparation With Anestesi Cream   
Laser CO2 Vagina,Fractional Co2 Treatment
Laser Bikini ,Preparation With Anestesi Cream   
Laser Bikini ,Mata Laser Nd-Yag 1064 F0 shoot
Peeling Chemical Intimate ,Intimate Meline 01 
Peeling Chemical Intimate ,Ga 20 %
Advance IPL Toning Shower ,Advance IPL Toning Shower 
Advance IPL Acne ,Advance IPL Acne 
Brightening IPL Arm Pit Hair ,Brightening IPL Arm Pit Hair 
Mesotheraphy Dermapen , Mesotheraphy Dermapen 
Brightening Mesotheraphy Needle ,Brightening Mesotheraphy Needle 
Brightening Mesotheraphy Aqua Injector ,Brightening Mesotheraphy Aqua Injector 
Brightening IPL Brazilian ,Brightening IPL Brazilian 
Brightening Mesotheraphy Dark Circle Eye ,Brightening Mesotheraphy Dark Circle Eye 
Brightening Injection Aura ,Brightening Injection Aura 
Brightening Infus Basic ,Brightening Infus Basic 
Brightening Infus Energy Boost ,Brightening Infus Energy Boost 
Brightening Infus Energy ,Brightening Infus Energy 
Brightening Infus Skin Glow ,Brightening Infus Skin Glow 
Brightening Infus Energy Skin Glow ,Brightening Infus Energy Skin Glow 
