"id","nama","harga","spesialis_id"
1,Facial Light  ,"95.000,00",6
2,Facial Preparation  ,"50.000,00",6
3,Facial Facial Essential  ,"120.000,00",6
4,Facial Oxygeneo  ,"288.750,00",6
5,Facial Korean Silk  ,"135.000,00",6
6,Peeling Microdermabrasi  ,"78.750,00",6
7,Peeling Chemical AHA 20% ,"56.250,00",6
8,Peeling Chemical AHA 35% ,"63.750,00",6
9,Peeling Chemical AHA 70% ,"112.500,00",6
10,Peeling Chemical BHA 20% ,"63.750,00",6
11,Peeling Chemical Complex ,"75.000,00",6
12,Peeling Chemical Retinol ,"187.500,00",6
13,Peeling Chemical Sparkling HD ,"225.000,00",6
14,Peeling Chemical Sparkling FD ,"337.500,00",6
15,Peeling Chemical Mandelaic ,"187.500,00",6
16,Peeling Chemical TCA ,"187.500,00",6
17,Peeling Chemical Bio Re Peel ,"300.000,00",6
18,Laser ND-Yag 1450 nm - F0,"158.178,29",6
19,Laser ND-Yag Blackdoll,"171.889,71",6
20,Laser ND-Yag 1450 nm - F50,"163.218,29",6
21,Laser ND-Yag 532 nm,"154.715,43",6
22,Laser CO2 Face (2 Spot),"420.000,00",6
23,Laser CO2 Vagina,"169.134,86",6
24,Laser Bikini ,"450.000,00",6
25,Laser Korean ,"158.178,29",6
26,Laser Korean Blackdoll ,"171.889,71",6
27,Laser Freckles ,"158.178,29",6
28,Laser Lip Care ,"161.313,52",6
29,Laser Arm Pit ,"249.962,86",6
30,Peeling Chemical Intimate ,"262.500,00",6
31,Advance IPL Toning Shower ,"220.000,00",6
32,Advance IPL Acne ,"220.000,00",6
33,Brightening IPL Arm Pit Hair ,"281.250,00",6
34,Brightening IPL Brazilian ,"487.500,00",6
35, Mesotheraphy Dermapen ,"360.000,00",6
36,Brightening Mesotheraphy Needle ,"375.000,00",6
37,Brightening Mesotheraphy Aqua Injector ,"750.000,00",6
38,Brightening Mesotheraphy Dark Circle Eye ,"450.000,00",6
39,Advance  Nucleofil Strong ,"3.500.000,00",6
40,Advance  Rejuran Healer Half ,"4.050.000,00",6
41,Advance  Rejuran HB ,"4.450.000,00",6
42,Brightening DNA Premium Injection The A ,"543.750,00",6
43,Advance HA Injection Profhilo ,"4.950.000,00",6
44,Brightening HA Injection Aqua C ,"1.087.500,00",6
