ID,harga jual
1,
3,
4,
5,
6,
7,
8,
10,
11,
19,
20,
23,
35,
36,
38,
40,
56,
57,"1.894,76"
58,"1.938,38"
59,"17.516,94"
60,"2.649,87"
61,"0,00"
62,"8.051,74"
63,"12.533,90"
64,"0,00"
65,"0,00"
66,"0,00"
67,"0,00"
68,"5.598,63"
69,"5.611,11"
70,"0,00"
73,"2.683,91"
74,"8.161,61"
75,"369,14"
76,"1.020,20"
77,"0,00"
79,"26.168,16"
82,"3.671,55"
83,"29.148,60"
84,"1.080,27"
85,"2.758,47"
86,"1.640,17"
87,"9.729,19"
88,"8.683,09"
89,"53.308,81"
92,"3.578,55"
93,"8.681,96"
94,"454,77"
96,"6.262,46"
97,"13.361,12"
101,"16.008,50"
102,"655.843,50"
105,"18.243,11"
106,"0,00"
107,"0,00"
109,"39.350,61"
110,"129.051,50"
112,"1.607,37"
113,"717,95"
115,"17.094,52"
117,"0,00"
118,"3.910,45"
119,"18.041,86"
120,"4.301,56"
121,"53.678,27"
125,"0,00"
126,"17.710,53"
128,"10.586,55"
129,"0,00"
133,"10.437,44"
134,"5.654,71"
135,"0,00"
136,"8.287,35"
137,"11.332,08"
138,"0,00"
139,"0,00"
140,"894,64"
141,"894,64"
142,"3.772,39"
143,"44.731,89"
144,"22.496,36"
145,"693,34"
146,"454,92"
147,"0,00"
148,"0,00"
151,"2.591,47"
153,"4.798,99"
155,"20.402,71"
156,"27.463,92"
157,"9.024,86"
158,"249,33"
159,"26.839,13"
160,"433,76"
161,"469,51"
163,"0,00"
164,"5.516,93"
165,"2.256,64"
166,"1.100,40"
169,"5.964,25"
170,"0,00"
171,"315,71"
172,"18.561,95"
173,"3.656,13"
176,"0,00"
179,"2.459,06"
180,"157,84"
181,"8.320,13"
182,"14.910,63"
185,"0,00"
186,"3.187,48"
188,"2.165,97"
189,"22.691,94"
190,"0,00"
191,"284,11"
193,"10.139,23"
194,"0,00"
196,"0,00"
197,"0,00"
199,"8.400,05"
200,"0,00"
201,"2.350,91"
202,"3.226,25"
203,"6.528,37"
204,"1.414,00"
206,"7.455,32"
207,"0,00"
208,"0,00"
209,"10.047,88"
210,"1.430,00"
211,"0,00"
212,"6.590,50"
213,"51.011,82"
218,"597,17"
219,"1.863,83"
222,"126.740,36"
225,"0,00"
226,"909,55"
227,"120,03"
229,"3.479,15"
230,"0,00"
231,"4.324,08"
233,"0,00"
234,"0,00"
235,"0,00"
237,"6.298,25"
241,"4.771,40"
245,"207.257,76"
246,"3.727,66"
247,"2.982,13"
248,"0,00"
251,"0,00"
254,"839,68"
255,"7.119,49"
256,"63.519,28"
265,"6.292,29"
268,"0,00"
271,"0,00"
273,"8.349,95"
277,"4.035,96"
279,"0,00"
281,"1.043,74"
282,"11.001,63"
284,"5.829,72"
285,"8.660,50"
286,"0,00"
292,"510,10"
293,"13.916,59"
294,"6.394,47"
295,"0,00"
296,"820,08"
298,"4.473,19"
302,"1.829,94"
303,"1.254,40"
304,"0,00"
305,"6.891,51"
306,"0,00"
308,"0,00"
309,"2.959,76"
311,"29.085,09"
312,"1.341,96"
314,"607,30"
315,"1.043,74"
316,"0,00"
317,"0,00"
318,"7.287,15"
319,"297.467,07"
321,"3.504,00"
322,"0,00"
323,"12.559,22"
325,"541,26"
326,"581,51"
327,"120,03"
329,"25.067,80"
331,"2.162,04"
332,"0,00"
333,"2.982,13"
334,"12.748,59"
335,"0,00"
336,"2.012,94"
337,"18.638,29"
338,"0,00"
340,"1.507,17"
342,"1.118,30"
343,"17.395,74"
344,"7.455,32"
345,"210,64"
347,"2.481,43"
348,"387,68"
349,"782,81"
350,"0,00"
351,"4.798,84"
